customer_id,interaction_count,segment
135138,1,cold_start
135511,1,cold_start
135961,3,regular
135978,1,cold_start
136076,1,cold_start
136193,1,cold_start
136285,1,cold_start
136323,2,regular
136643,1,cold_start
136713,1,cold_start
136788,2,regular
137239,1,cold_start
137600,1,cold_start
137838,1,cold_start
138002,1,cold_start
138032,1,cold_start
138285,1,cold_start
138396,1,cold_start
138485,6,power
138652,1,cold_start
138783,1,cold_start
138865,1,cold_start
139069,1,cold_start
139547,1,cold_start
139893,2,regular
140059,1,cold_start
140087,2,regular
140131,1,cold_start
140214,2,regular
140449,1,cold_start
140450,1,cold_start
140782,1,cold_start
140913,2,regular
141065,1,cold_start
141672,1,cold_start
141717,5,power
141769,1,cold_start
141940,1,cold_start
142184,1,cold_start
142471,1,cold_start
142503,1,cold_start
142708,2,regular
143109,2,regular
143113,1,cold_start
143229,1,cold_start
143544,1,cold_start
144663,1,cold_start
144834,1,cold_start
144967,1,cold_start
145007,1,cold_start
145009,1,cold_start
145161,1,cold_start
145407,4,regular
145643,1,cold_start
145750,2,regular
146056,2,regular
147198,1,cold_start
147484,1,cold_start
147567,1,cold_start
148183,1,cold_start
148320,1,cold_start
148558,3,regular
148575,1,cold_start
148734,3,regular
148920,1,cold_start
149024,2,regular
149097,1,cold_start
149101,1,cold_start
149260,1,cold_start
149511,1,cold_start
149610,1,cold_start
149731,1,cold_start
150400,1,cold_start
150656,2,regular
150729,1,cold_start
150935,1,cold_start
151106,1,cold_start
151166,1,cold_start
151415,2,regular
152718,1,cold_start
152901,1,cold_start
152932,1,cold_start
153332,2,regular
153662,1,cold_start
153841,1,cold_start
153877,1,cold_start
153906,1,cold_start
153914,2,regular
153935,2,regular
155162,1,cold_start
155226,1,cold_start
155533,1,cold_start
155812,1,cold_start
156667,1,cold_start
156671,2,regular
156886,1,cold_start
157103,1,cold_start
157135,1,cold_start
158233,1,cold_start
158349,1,cold_start
158609,1,cold_start
158687,1,cold_start
158840,2,regular
158875,1,cold_start
159075,1,cold_start
159091,1,cold_start
159147,1,cold_start
159677,1,cold_start
159832,1,cold_start
159991,2,regular
160045,1,cold_start
160415,1,cold_start
160509,2,regular
161048,1,cold_start
161062,1,cold_start
161185,1,cold_start
161204,1,cold_start
161981,2,regular
162387,1,cold_start
162493,1,cold_start
162709,3,regular
163052,1,cold_start
163121,1,cold_start
163300,2,regular
163543,1,cold_start
164216,1,cold_start
164306,3,regular
164400,1,cold_start
165105,1,cold_start
165133,1,cold_start
165303,1,cold_start
165989,1,cold_start
166082,1,cold_start
166138,1,cold_start
166164,2,regular
166204,1,cold_start
166603,1,cold_start
166915,1,cold_start
167234,1,cold_start
167283,1,cold_start
167313,1,cold_start
167458,3,regular
167874,1,cold_start
167899,1,cold_start
168361,1,cold_start
168368,1,cold_start
168420,1,cold_start
168427,1,cold_start
168471,1,cold_start
168560,1,cold_start
168584,1,cold_start
168677,2,regular
168977,1,cold_start
169167,2,regular
169670,1,cold_start
169793,1,cold_start
169956,1,cold_start
170129,1,cold_start
170215,2,regular
170605,1,cold_start
170637,1,cold_start
170684,1,cold_start
170766,1,cold_start
171000,1,cold_start
171040,2,regular
171381,1,cold_start
171468,1,cold_start
171596,1,cold_start
171654,1,cold_start
171777,1,cold_start
171824,2,regular
171837,1,cold_start
171869,1,cold_start
172000,4,regular
172155,1,cold_start
172505,1,cold_start
172573,3,regular
172911,1,cold_start
173181,1,cold_start
173434,1,cold_start
173436,1,cold_start
173547,1,cold_start
173637,1,cold_start
173946,1,cold_start
173969,1,cold_start
174062,1,cold_start
174220,1,cold_start
174259,1,cold_start
174661,1,cold_start
174783,1,cold_start
174882,1,cold_start
175269,1,cold_start
175377,1,cold_start
175397,1,cold_start
175413,2,regular
175823,1,cold_start
175951,1,cold_start
176100,1,cold_start
176368,1,cold_start
177142,1,cold_start
177333,1,cold_start
177437,1,cold_start
177621,1,cold_start
177912,1,cold_start
177990,3,regular
178023,1,cold_start
178114,1,cold_start
178318,1,cold_start
178857,1,cold_start
178948,1,cold_start
179438,1,cold_start
179461,1,cold_start
179463,1,cold_start
179518,1,cold_start
179727,1,cold_start
179825,2,regular
179866,1,cold_start
180112,1,cold_start
180142,1,cold_start
180221,1,cold_start
180380,1,cold_start
180577,1,cold_start
180691,1,cold_start
180721,3,regular
180890,2,regular
180927,1,cold_start
181246,1,cold_start
181260,1,cold_start
181452,1,cold_start
182233,1,cold_start
182339,1,cold_start
182787,1,cold_start
182855,1,cold_start
182885,1,cold_start
182942,1,cold_start
183090,1,cold_start
183291,1,cold_start
183640,2,regular
183804,1,cold_start
183847,1,cold_start
183920,2,regular
184021,1,cold_start
184352,2,regular
184742,1,cold_start
184819,1,cold_start
185047,1,cold_start
185277,2,regular
186114,1,cold_start
186254,1,cold_start
186938,1,cold_start
187155,2,regular
187187,1,cold_start
187455,1,cold_start
187479,1,cold_start
187729,1,cold_start
187841,1,cold_start
187870,1,cold_start
188212,1,cold_start
188380,1,cold_start
188431,2,regular
188878,1,cold_start
188955,1,cold_start
189185,1,cold_start
189207,1,cold_start
189578,1,cold_start
189669,1,cold_start
189785,2,regular
190040,1,cold_start
190135,1,cold_start
190167,2,regular
190330,2,regular
190577,1,cold_start
190682,1,cold_start
190841,1,cold_start
190899,2,regular
190908,1,cold_start
192312,1,cold_start
192910,1,cold_start
193424,1,cold_start
193500,1,cold_start
193850,1,cold_start
193885,1,cold_start
193897,1,cold_start
193905,1,cold_start
194246,2,regular
194383,2,regular
194443,1,cold_start
194954,1,cold_start
195005,1,cold_start
195053,1,cold_start
195419,1,cold_start
195428,1,cold_start
195789,1,cold_start
196599,2,regular
196732,2,regular
196741,1,cold_start
196994,1,cold_start
197300,1,cold_start
197507,1,cold_start
197661,1,cold_start
197706,1,cold_start
198229,1,cold_start
198290,1,cold_start
198310,2,regular
198382,1,cold_start
198486,1,cold_start
198750,1,cold_start
198929,1,cold_start
199036,1,cold_start
199081,1,cold_start
199633,1,cold_start
200050,1,cold_start
200122,2,regular
200153,2,regular
200533,2,regular
200674,1,cold_start
200713,1,cold_start
201089,1,cold_start
201236,1,cold_start
201321,1,cold_start
201360,1,cold_start
201531,1,cold_start
201538,1,cold_start
201969,1,cold_start
202235,1,cold_start
203608,1,cold_start
203902,1,cold_start
204015,2,regular
204674,1,cold_start
205358,1,cold_start
205764,1,cold_start
206255,3,regular
206528,1,cold_start
206772,1,cold_start
206861,1,cold_start
207172,2,regular
207847,1,cold_start
208069,1,cold_start
208123,1,cold_start
209499,1,cold_start
209756,1,cold_start
210187,1,cold_start
210723,1,cold_start
210985,1,cold_start
211146,1,cold_start
211558,1,cold_start
211657,1,cold_start
211667,1,cold_start
212007,1,cold_start
212118,1,cold_start
212324,2,regular
213605,1,cold_start
213819,1,cold_start
214019,1,cold_start
214554,2,regular
215509,2,regular
215859,1,cold_start
216414,1,cold_start
217369,1,cold_start
217567,1,cold_start
217766,1,cold_start
217888,1,cold_start
218009,1,cold_start
218282,1,cold_start
218556,1,cold_start
218861,1,cold_start
218882,1,cold_start
218932,2,regular
219439,1,cold_start
219514,1,cold_start
219695,2,regular
220137,1,cold_start
220265,1,cold_start
220474,1,cold_start
220659,1,cold_start
220789,1,cold_start
220861,1,cold_start
221387,1,cold_start
223032,1,cold_start
225010,2,regular
226209,1,cold_start
227598,1,cold_start
228028,1,cold_start
228152,1,cold_start
229029,1,cold_start
229376,1,cold_start
230477,2,regular
230513,1,cold_start
232466,1,cold_start
232530,1,cold_start
232570,1,cold_start
232742,2,regular
232909,1,cold_start
235536,1,cold_start
235679,1,cold_start
235896,4,regular
236099,1,cold_start
236687,1,cold_start
236788,1,cold_start
236853,1,cold_start
238130,1,cold_start
238147,1,cold_start
240029,2,regular
240033,1,cold_start
240622,2,regular
242176,1,cold_start
242618,1,cold_start
243854,2,regular
244823,1,cold_start
245858,1,cold_start
246336,1,cold_start
246505,1,cold_start
246690,1,cold_start
246949,1,cold_start
